iter,particles,cmode,c1_start,c1_end,c2_start,c2_end,mean_error,std_error,mean_runtime,std_runtime
100,10,2,2.5,0.5,1.0,2.0,0.05641128133555917,3.138457441814483e-05,333.40772249698637,51.373159087554164
50,20,1,2.0,1.0,0.5,1.5,0.056412033285102234,2.5793428867034725e-05,340.0267238775889,51.187640931724026
50,10,2,2.0,1.0,0.5,1.5,0.056412644019143296,2.6547875021177123e-05,181.53710075219473,15.94821175152585
100,20,1,2.5,0.5,1.0,2.0,0.05641346028414338,3.1103031074648805e-05,623.967569454511,86.02668184337173
50,10,2,2.5,0.5,0.5,1.5,0.05641378919428337,2.8654725213407736e-05,181.08439172903698,8.509163738325766
100,20,1,2.5,0.5,0.5,2.5,0.05641472910157216,2.2301405702788457e-05,630.8708353281021,98.13483497811177
100,10,1,1.5,0.5,1.0,2.0,0.05641544386050863,3.1565809240462496e-05,323.90515213012696,47.92393217866291
100,10,2,2.5,1.5,0.5,2.5,0.056416062040672,3.2236108981586757e-05,339.8154588143031,46.21311145832132
100,10,2,1.5,0.5,1.0,2.0,0.05641703616891813,3.190870143610997e-05,319.7587754964828,50.08413782250302
50,20,0,2.0,2.0,1.0,1.0,0.05641988436655254,2.550913271234412e-05,321.64519755045575,37.49011039211944
100,20,1,2.5,1.5,1.0,2.0,0.05642263766875482,3.5562877739604506e-05,613.1345983107884,90.07605080735358
100,10,1,2.0,1.0,0.5,2.5,0.056424169714118316,3.69462827330064e-05,321.18237551053363,54.49077361026034
100,20,0,2.0,2.0,1.5,1.5,0.05642486383805343,2.8213354150868976e-05,664.8208008845647,48.79388034817691
50,20,1,2.5,0.5,0.5,1.5,0.056425685909834655,2.6608248424353642e-05,362.8777007102966,28.2415422672929
100,10,1,2.0,1.0,1.0,2.0,0.05643117261654338,3.2232417218795495e-05,329.43017933368685,45.623783256443126
50,10,2,2.5,1.5,0.5,1.5,0.05643159021593766,2.713499031658249e-05,186.9170259475708,11.860226486498881
100,10,2,2.5,1.5,1.0,2.0,0.056433533514241165,2.4033501773299077e-05,326.50619379679364,50.95678248728164
50,10,1,2.0,1.0,0.5,1.5,0.05643378581528853,2.8251626310399394e-05,177.12434017658234,10.926414369246027
50,20,1,2.5,1.5,0.5,1.5,0.05643497641997532,2.9414390446549e-05,352.2047960758209,50.39198582330108
100,10,1,1.5,0.5,0.5,2.5,0.05643562823311085,2.6904510449901066e-05,330.72329505284625,48.637676625780884
50,10,0,1.5,1.5,1.0,1.0,0.0564370963379502,3.3611451005649494e-05,160.34130685329438,19.988853563680227
50,10,1,1.5,0.5,0.5,1.5,0.05644027964797711,4.3143541945386025e-05,186.00295010407766,9.811838634588447
100,10,1,2.5,0.5,1.0,2.0,0.05644232769139182,3.639013322802329e-05,328.64824697971346,55.2953750621129
100,10,0,2.0,2.0,1.5,1.5,0.05644389811798773,4.097403408279268e-05,319.3500782251358,36.96090348422279
50,10,1,2.5,0.5,0.5,1.5,0.056444149665586835,3.447084876775801e-05,181.078058608373,9.270378070670404
50,10,1,2.5,1.5,0.5,1.5,0.05644511526603262,3.4614474157477785e-05,184.39601004918416,10.939912065392884
100,20,1,2.5,1.5,0.5,2.5,0.05644908348913306,3.982720390451179e-05,630.1332533280055,71.92290257634549
100,10,1,2.5,1.5,1.0,2.0,0.056455567137353536,3.513490441410646e-05,334.1087704817454,41.93867673572437
50,20,2,1.5,0.5,0.5,2.5,0.0564614327288981,3.4227923159468116e-05,339.6350732644399,51.390127182317144
50,10,0,2.0,2.0,1.0,1.0,0.056462912785413134,3.7206401758171635e-05,159.63156133492788,19.694668178779796
100,10,1,2.5,0.5,0.5,2.5,0.056464449247265104,6.525058914683163e-05,334.89847811857857,54.21510805963091
50,20,0,2.5,2.5,1.0,1.0,0.05646754294226689,4.218688054276615e-05,314.51510612169903,43.571947034961156
50,20,2,2.0,1.0,0.5,2.5,0.05647555238320103,3.602860821047526e-05,340.5482077598572,47.63368567219161
50,20,2,2.5,0.5,0.5,2.5,0.05648155076425706,4.632352487296411e-05,368.2252849340439,20.181215892088726
50,10,2,2.0,1.0,0.5,2.5,0.05650929576221371,6.16914186596625e-05,186.12393298943837,13.046489218890809
100,10,1,2.5,1.5,0.5,2.5,0.05651029141980212,8.79678116553549e-05,329.4195942083995,55.10875059046462
50,20,2,2.5,1.5,0.5,2.5,0.05651841284324991,7.463591705902328e-05,345.08225139776863,40.567757788808976
50,20,2,2.0,1.0,1.0,2.0,0.056531084479655914,7.583325478270805e-05,343.0327768007914,46.6188685503458
50,10,0,2.5,2.5,1.0,1.0,0.056548084365110905,6.53037152821319e-05,148.93948402404786,17.846906298337178
50,10,2,1.5,0.5,0.5,2.5,0.056548995014557527,7.261931205742426e-05,182.2318425019582,11.369969532929813
50,10,2,2.5,0.5,0.5,2.5,0.05655067987393566,0.0001234274646809694,182.39763282140095,9.358132869974382
100,20,2,1.5,0.5,1.5,2.5,0.05655286596655713,6.388679668105799e-05,602.7502504587173,84.11275295862796
